id,date,caption,type,likes,comments,permalink
18095134570926799,2026-05-18,"Politeknik Pariwisata Palembang menerima kunjungan Kantor Perwakilan Bank Indonesia Provinsi Sumatera Selatan melalui Audiensi terkait pelaksanaan Halal Chef Competition dalam rangka Festival Ekonomi Syariah (FESyar) Sumatera 2026 tingkat regional Sumatera. Kegiatan ini direncanakan akan diselenggarakan di Politeknik Pariwisata Palembang sebagai bentuk sinergi dalam mendukung pengembangan ekonomi dan keuangan syariah di Indonesia.
.
Melalui kegiatan ini, diharapkan dapat meningkatkan literasi, inklusi, serta akselerasi pengembangan sektor ekonomi dan keuangan syariah melalui kolaborasi lintas sektor, khususnya di bidang pariwisata, kuliner halal, dan industri kreatif. Kehadiran Halal Chef Competition juga menjadi wadah untuk mendorong kreativitas, inovasi, serta kompetensi generasi muda dalam mengembangkan potensi kuliner halal berdaya saing. 
.
Audiensi ini turut membuka peluang kerja sama lainnya ke depannya antara Politeknik Pariwisata Palembang dan Bank Indonesia Provinsi Sumatera Selatan dalam berbagai program strategis yang mendukung pengembangan sumber daya manusia, pendidikan, dan sektor pariwisata.
.
#poltekparpalembangselaludihati",CAROUSEL_ALBUM,87,0,https://www.instagram.com/p/DYdsPiDGiyg/
18120218386735455,2026-05-16,"Intip keseruan mahasiswa/i Poltekpar Palembang yang turut ambil bagian dikegiatan Festival Sriwijaya! Dengan penuh semangat dan profesionalisme, mereka berkontribusi dalam menyukseskan salah satu festival budaya terbesar di Sumatera Selatan. Mulai dari koordinasi acara, pelayanan tamu, hingga memastikan setiap rangkaian kegiatan berjalan lancar, semuanya dilakukan dengan totalitas.
.
Tak hanya menjadi pengalaman berharga, keterlibatan mahasiswa/i untuk mengasah skill hospitality, teamwork, dan event management secara langsung di lapangan. 
.
#poltekparpalembangselaludihati",VIDEO,287,4,https://www.instagram.com/reel/DYYheH4Aago/
17964845726918859,2026-05-15,"Poltekpar Palembang hadir di Festival Sriwijaya 2026. Catat tanggalnya, 15–17 Mei 2026!
.
Hadir pula Mobile Bar dan Food Truck, rasakan makanan dan minuman buatan Mahasiswa/i Poltekpar Palembang. 
.
Buat kamu yang kemarin ketinggalan pendaftaran SBM Poltekpar, jangan khawatir! akan ada informasi lengkap seputar Seleksi Mandiri Masuk (SMM) Poltekpar Palembang, ini kesempatan kamu buat cari tahu jalur masuk dan informasi terbaru langsung dari tim kami 🙌
.
Ajak teman dan keluarga, nikmati festivalnya, dan kenalan lebih dekat dengan dunia pariwisata bersama Poltekpar Palembang.
.
#poltekparpalembangselaludihati",IMAGE,95,0,https://www.instagram.com/p/DYWut9vghe3/
18080765144409216,2026-05-14,"Sivitas Akademika Politeknik Pariwisata Palembang mengucapkan Dirgahayu Provinsi Sumatera Selatan Ke-80. Mengusung tema “Sumsel Tangguh, Maju Lebih Cepat”, momentum hari jadi ini menjadi pengingat untuk terus bergerak maju, memperkuat kolaborasi, serta mengembangkan potensi daerah demi kesejahteraan masyarakat dan kemajuan Sumatera Selatan.
.
Sebagai institusi pendidikan vokasi di bidang pariwisata, Poltekpar Palembang siap mendukung lahirnya generasi profesional, kreatif, dan berdaya saing global untuk kemajuan pariwisata Sumatera Selatan. Mari terus berkarya dan berkolaborasi untuk menghadirkan pariwisata yang maju, berbudaya, dan mendunia.
.
#poltekparpalembangselaludihati",IMAGE,82,0,https://www.instagram.com/p/DYVoDm4TxKU/
18228434389312680,2026-05-14,"Selamat memperingati Hari Kenaikan Isa Almasih. 
.
Makna ini membawa damai, pengharapan, dan sukacita dalam hati kita semua. Semoga setiap langkah kehidupan senantiasa dipenuhi kasih, iman, dan berkat yang melimpah bagi keluarga serta orang-orang terkasih.
.
#poltekparpalembangselaludihati",IMAGE,42,0,https://www.instagram.com/p/DYTLrocTuFl/
18202142089346248,2026-05-13,"Pelaksanaan Ujian SBM Poltekpar hari ke-2 di Poltekpar Palembang pada hari Selasa, 12 Mei 2026 berlangsung dengan tertib, lancar, dan penuh semangat. 
.
Para calon mahasiswa baru menunjukkan antusiasme serta kesiapan terbaiknya dalam mengikuti setiap rangkaian ujian sebagai langkah awal meraih cita-cita di dunia pariwisata dan hospitality. 
.
Semoga seluruh calon mahasiswa baru mendapatkan hasil terbaik sesuai dengan usaha yang telah dilakukan. Tetap semangat, percaya diri, dan sampai jumpa menjadi bagian dari keluarga besar Poltekpar Palembang! 🌟
.
#poltekparpalembangselaludihati",VIDEO,470,2,https://www.instagram.com/reel/DYQv7Nhg6YG/
17950864992139006,2026-05-12,"Semangat dan antusiasme peserta hari pertama pelaksanaan Seleksi Bersama Masuk (SBM) di Politeknik Pariwisata Palembang pada Senin, 11 Mei 2026.
.
Dengan penuh optimisme, para calon insan pariwisata terbaik memulai langkah awal menuju masa depan gemilang di dunia hospitality dan pariwisata.
.
#poltekparpalembangselaludihati",VIDEO,310,2,https://www.instagram.com/reel/DYOMCkugTxE/
18082296425411580,2026-05-11,"Selamat Datang dan selamat menempuh Ujian Skolastik dan wawancara SBM Poltekpar tahun 2026, perserta dari berbagai daerah hadir ke Poltekpar palembang untuk mengikuti Ujian yang berlangsung pada hari pertama Senin, 11 Mei 2026
.
Direktur, Dr Iwan Riady, S.Sos., M.Si memimpin langsung pelaksanaan kegiatan Ujian Seleksi Bersama Masuk (SBM) Poltekpar Hari pertama dimulai dari sosialisasi ujian hingga pelaksanaan ujian baik Skolastik maupun wawancara 
.
Terima kasih kepada seluruh peserta ujian yang telah hadir masih ada hari esok untuk ujian selanjutnya semoga mendapatkan hasil yang terbaik
.
#poltekparpalembangselaludihati",CAROUSEL_ALBUM,344,0,https://www.instagram.com/p/DYMzd5fGqXH/
18051148736724713,2026-05-09,"Seluruh peserta SBM Poltekpar di Politeknik Pariwisata Palembang diharapkan memperhatikan denah lokasi ujian berikut ini.
.
Periksa kembali detail pelaksanaan Tes Skolastik dan Tes Wawancara sesuai lokasi dan ruang ujian yang telah ditentukan agar pelaksanaan ujian berjalan tertib dan lancar.
.
Persiapkan diri dengan baik, hadir tepat waktu, dan tetap semangat💫
.
#poltekparpalembangselaludihati",CAROUSEL_ALBUM,314,0,https://www.instagram.com/p/DYHG0rymnom/
17985441164996109,2026-05-08,"Hot kitchen vs pastry 🔥🍳🍰 beda station, satu tujuan: semua belajar, semua berkembang, semua jadi chef profesional masa depan 💯👨‍🍳👩‍🍳
.
#poltekparpalembangselaludihati",VIDEO,496,4,https://www.instagram.com/reel/DYEcgW7A-U-/
